category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0050896	7.78267678538693e-13	1	2321	5947	response to stimulus	BP	4.06575017501214e-10	1
GO:0010628	1.0567207033911e-12	1	600	1331	positive regulation of gene expression	BP	5.38240690272255e-10	1
GO:0044767	1.23289990112848e-12	1	1761	4365	single-organism developmental process	BP	6.12661038672965e-10	1
GO:0042981	1.54080448216999e-12	1	497	1107	regulation of apoptotic process	BP	7.47436917136463e-10	1
GO:0010557	1.74418349169997e-12	1	570	1258	positive regulation of macromolecule biosynthetic process	BP	8.26418475811514e-10	1
GO:0051253	2.04519889948769e-12	1	447	961	negative regulation of RNA metabolic process	BP	9.47020054049143e-10	1
GO:0043067	2.56371141168532e-12	1	500	1118	regulation of programmed cell death	BP	1.1607345844817e-09	1
GO:0031323	5.20053048356986e-12	1	1860	4692	regulation of cellular metabolic process	BP	2.3033827841794e-09	1
GO:1902533	7.11489810663359e-12	1	328	683	positive regulation of intracellular signal transduction	BP	3.08423263882027e-09	1
GO:0031325	8.32959281123008e-12	1	935	2221	positive regulation of cellular metabolic process	BP	3.53556508200003e-09	1
GO:0009893	8.63840606853921e-12	1	993	2376	positive regulation of metabolic process	BP	3.59181398449832e-09	1
GO:0051173	1.06519640409325e-11	1	619	1397	positive regulation of nitrogen compound metabolic process	BP	4.33772580315075e-09	1
GO:0010941	1.08581533307494e-11	1	527	1195	regulation of cell death	BP	4.33772580315075e-09	1
GO:0009967	1.22985025385531e-11	1	496	1102	positive regulation of signal transduction	BP	4.77562126494748e-09	1
GO:0051093	1.24230846688042e-11	1	297	598	negative regulation of developmental process	BP	4.77562126494748e-09	1
GO:0048856	1.33983139726818e-11	1	1668	4131	anatomical structure development	BP	4.97581449094158e-09	1
GO:0010556	1.34323057328844e-11	1	1362	3334	regulation of macromolecule biosynthetic process	BP	4.97581449094158e-09	1
GO:0045944	1.57233385568147e-11	1	379	793	positive regulation of transcription from RNA polymerase II promoter	BP	5.72048749565256e-09	1
GO:0007166	1.60051405077267e-11	1	847	1979	cell surface receptor signaling pathway	BP	5.72085495972673e-09	1
GO:0045595	1.68459205349348e-11	1	524	1146	regulation of cell differentiation	BP	5.91756525825453e-09	1
GO:0030154	1.78193024814324e-11	1	1126	2682	cell differentiation	BP	6.15339777553737e-09	1
GO:0009892	1.81583916195315e-11	1	847	2010	negative regulation of metabolic process	BP	6.16598451427226e-09	1
GO:0048583	2.10076815023113e-11	1	1154	2786	regulation of response to stimulus	BP	7.01656562177197e-09	1
GO:0031326	2.43923721857705e-11	1	1405	3459	regulation of cellular biosynthetic process	BP	8.01564824053047e-09	1
GO:0051172	2.56496251461928e-11	1	539	1201	negative regulation of nitrogen compound metabolic process	BP	8.29500734489733e-09	1
GO:2000112	2.61958873725364e-11	1	1332	3258	regulation of cellular macromolecule biosynthetic process	BP	8.3392970207509e-09	1
GO:0009889	2.71700668167119e-11	1	1417	3494	regulation of biosynthetic process	BP	8.51635294344135e-09	1
GO:0045935	3.04535838453074e-11	1	583	1309	positive regulation of nucleobase-containing compound metabolic process	BP	9.40092904945899e-09	1
GO:0005515	3.24120157894588e-11	1	2807	7416	protein binding	MF	9.84535107616474e-09	1
GO:0006915	3.28597169519585e-11	1	624	1450	apoptotic process	BP	9.84535107616474e-09	1
GO:0010605	3.43503022986371e-11	1	787	1860	negative regulation of macromolecule metabolic process	BP	1.01427979569918e-08	1
GO:0007275	3.6038499904485e-11	1	1484	3646	multicellular organism development	BP	1.04185779946054e-08	1
GO:0012501	3.63070107792768e-11	1	631	1469	programmed cell death	BP	1.04185779946054e-08	1
GO:0000981	3.95271906371952e-11	1	244	473	RNA polymerase II transcription factor activity, sequence-specific DNA binding	MF	1.11850969728086e-08	1
GO:0009891	4.63475913461219e-11	1	602	1364	positive regulation of biosynthetic process	BP	1.28686856723802e-08	1
GO:0097659	4.67400971707144e-11	1	1258	3069	nucleic acid-templated transcription	BP	1.28686856723802e-08	1
GO:0031328	4.85846953730076e-11	1	595	1345	positive regulation of cellular biosynthetic process	BP	1.31981944470621e-08	1
GO:0048731	5.49206711127582e-11	1	1322	3216	system development	BP	1.47230757006755e-08	1
GO:0045859	6.33466343285305e-11	1	290	597	regulation of protein kinase activity	BP	1.67613549066166e-08	1
GO:0051241	7.12311162190706e-11	1	338	712	negative regulation of multicellular organismal process	BP	1.86059328441967e-08	1
GO:0080090	7.28690810505093e-11	1	1834	4652	regulation of primary metabolic process	BP	1.87928437635832e-08	1
GO:2001141	8.24314452929422e-11	1	1208	2937	regulation of RNA biosynthetic process	BP	2.09932283299801e-08	1
GO:0006351	8.83380835224378e-11	1	1250	3054	transcription, DNA-templated	BP	2.21155768035104e-08	1
GO:1903506	8.90093893142166e-11	1	1204	2924	regulation of nucleic acid-templated transcription	BP	2.21155768035104e-08	1
GO:0008219	9.6562113411062e-11	1	664	1560	cell death	BP	2.37030903450238e-08	1
GO:0051239	1.1662035483507e-10	1	828	1939	regulation of multicellular organismal process	BP	2.82859893977348e-08	1
GO:0048513	1.32232482277955e-10	1	966	2310	animal organ development	BP	3.15587812439788e-08	1
GO:0043549	1.33211700548845e-10	1	309	644	regulation of kinase activity	BP	3.15587812439788e-08	1
GO:0006355	1.3494373708385e-10	1	1195	2904	regulation of transcription, DNA-templated	BP	3.16016517166249e-08	1
GO:0045934	1.78924766691277e-10	1	483	1074	negative regulation of nucleobase-containing compound metabolic process	BP	4.1425149961001e-08	1
GO:0019222	2.56129751199582e-10	1	1940	4955	regulation of metabolic process	BP	5.86335679880931e-08	1
GO:0045596	2.6171190840799e-10	1	227	449	negative regulation of cell differentiation	BP	5.92457602433821e-08	1
GO:0071902	2.80623237036204e-10	1	134	242	positive regulation of protein serine/threonine kinase activity	BP	6.28287673777541e-08	1
GO:0051252	3.53068050819282e-10	1	1243	3043	regulation of RNA metabolic process	BP	7.81892224716527e-08	1
GO:0042127	3.8306213738813e-10	1	496	1126	regulation of cell proliferation	BP	8.39194407219974e-08	1
GO:0042325	4.20104524888639e-10	1	486	1084	regulation of phosphorylation	BP	9.10554211710758e-08	1
GO:0060255	4.76787106819932e-10	1	1846	4701	regulation of macromolecule metabolic process	BP	1.02253268572098e-07	1
GO:0043565	5.43216219238171e-10	1	381	810	sequence-specific DNA binding	MF	1.15286325528734e-07	1
GO:0001932	6.31158424564046e-10	1	453	1004	regulation of protein phosphorylation	BP	1.32569296309978e-07	1
GO:0048869	6.43839633605264e-10	1	1232	2992	cellular developmental process	BP	1.33852945868098e-07	1
GO:0045860	8.78613813157649e-10	1	192	376	positive regulation of protein kinase activity	BP	1.80816947770444e-07	1
GO:0009888	1.08724817140205e-09	1	575	1311	tissue development	BP	2.21515942441454e-07	1
GO:0010647	1.20033679487896e-09	1	521	1195	positive regulation of cell communication	BP	2.39994913905904e-07	1
GO:0023056	1.20150590057928e-09	1	524	1202	positive regulation of signaling	BP	2.39994913905904e-07	1
GO:0007264	1.28308932341525e-09	1	252	506	small GTPase mediated signal transduction	BP	2.53802542478275e-07	1
GO:0043405	1.43113182749609e-09	1	143	263	regulation of MAP kinase activity	BP	2.80364229359667e-07	1
GO:0010942	1.55258393917967e-09	1	242	510	positive regulation of cell death	BP	3.01260430255682e-07	1
GO:0043068	1.61909366929276e-09	1	233	487	positive regulation of programmed cell death	BP	3.11202022812931e-07	1
GO:0001067	1.65362353515137e-09	1	318	663	regulatory region nucleic acid binding	MF	3.14868466403495e-07	1
GO:0030855	1.82178084592105e-09	1	203	401	epithelial cell differentiation	BP	3.43675582914772e-07	1
GO:0051174	1.85098239548194e-09	1	546	1247	regulation of phosphorus metabolic process	BP	3.45980874546322e-07	1
GO:2000026	1.90492662925132e-09	1	559	1269	regulation of multicellular organismal development	BP	3.52827046766967e-07	1
GO:0000975	2.11213126231772e-09	1	317	662	regulatory region DNA binding	MF	3.87680741787939e-07	1
GO:0044707	2.17333558076767e-09	1	1741	4399	single-multicellular organism process	BP	3.95353027880004e-07	1
GO:0019220	2.25649382281348e-09	1	545	1246	regulation of phosphate metabolic process	BP	4.06847833150459e-07	1
GO:0043065	3.31542041756317e-09	1	230	483	positive regulation of apoptotic process	BP	5.92529610416071e-07	1
GO:0051171	3.37465720264335e-09	1	1430	3587	regulation of nitrogen compound metabolic process	BP	5.9787187692744e-07	1
GO:0033674	3.41148904483667e-09	1	202	403	positive regulation of kinase activity	BP	5.99186877581916e-07	1
GO:0071310	3.47097721816497e-09	1	714	1696	cellular response to organic substance	BP	6.04424699511907e-07	1
GO:0044212	3.63664750614741e-09	1	315	660	transcription regulatory region DNA binding	MF	6.27907256697012e-07	1
GO:0005488	4.03914623111767e-09	1	3945	10715	binding	MF	6.91542565653708e-07	1
GO:0019219	4.14831834690742e-09	1	1334	3316	regulation of nucleobase-containing compound metabolic process	BP	7.04315316665765e-07	1
GO:0008283	4.67583888146789e-09	1	622	1465	cell proliferation	BP	7.87318523727493e-07	1
GO:0001228	5.07499237481792e-09	1	128	231	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	MF	8.47523726594592e-07	1
GO:0010468	5.7048756124956e-09	1	1412	3539	regulation of gene expression	BP	9.44968583162483e-07	1
GO:0042327	5.81601640223514e-09	1	319	686	positive regulation of phosphorylation	BP	9.53520481278859e-07	1
GO:0032774	5.85010602531939e-09	1	1270	3182	RNA biosynthetic process	BP	9.53520481278859e-07	1
GO:0009968	8.02341328274641e-09	1	397	885	negative regulation of signal transduction	BP	1.29737319224346e-06	1
GO:0007167	9.25864509583765e-09	1	358	775	enzyme linked receptor protein signaling pathway	BP	1.48531996206769e-06	1
GO:0001071	9.94512938415743e-09	1	435	960	nucleic acid binding transcription factor activity	MF	1.570713690487e-06	1
GO:0003700	9.94512938415743e-09	1	435	960	transcription factor activity, sequence-specific DNA binding	MF	1.570713690487e-06	1
GO:0001934	1.01131731408615e-08	1	303	651	positive regulation of protein phosphorylation	BP	1.58496761209163e-06	1
GO:0010033	1.26457155695596e-08	1	888	2178	response to organic substance	BP	1.96674663369624e-06	1
GO:0043408	1.3006610550196e-08	1	242	503	regulation of MAPK cascade	BP	2.00755063143707e-06	1
GO:0023057	1.33609339309312e-08	1	426	961	negative regulation of signaling	BP	2.03209537791766e-06	1
05200	1.33651114479713e-08	1	142	267	NA	NA	2.03209537791766e-06	1
GO:0010648	1.40697535421305e-08	1	425	959	negative regulation of cell communication	BP	2.12338636049902e-06	1
GO:0048585	1.42510168872814e-08	1	474	1087	negative regulation of response to stimulus	BP	2.13492807398141e-06	1
GO:0007265	1.63595386300263e-08	1	150	278	Ras protein signal transduction	BP	2.43291416093544e-06	1
GO:0000982	1.90152016263679e-08	1	139	255	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	2.80736027489579e-06	1
GO:0030334	2.43946868548475e-08	1	245	511	regulation of cell migration	BP	3.5756643883501e-06	1
GO:0044093	2.63756841775779e-08	1	635	1497	positive regulation of molecular function	BP	3.83841563881409e-06	1
GO:0050790	2.78595179883792e-08	1	781	1896	regulation of catalytic activity	BP	4.02560155670381e-06	1
GO:0008134	2.92221348822441e-08	1	212	438	transcription factor binding	MF	4.19275898655521e-06	1
GO:0043410	3.5614975872948e-08	1	174	347	positive regulation of MAPK cascade	BP	5.07426236668142e-06	1
GO:0010563	3.96547962267563e-08	1	219	455	negative regulation of phosphorus metabolic process	BP	5.57190909188919e-06	1
GO:0045936	3.96547962267563e-08	1	219	455	negative regulation of phosphate metabolic process	BP	5.57190909188919e-06	1
GO:0033993	4.1450669949257e-08	1	290	631	response to lipid	BP	5.78435581880934e-06	1
GO:0031399	5.04598692961087e-08	1	568	1340	regulation of protein modification process	BP	6.99366923155727e-06	1
GO:2000145	5.14029983128182e-08	1	259	551	regulation of cell motility	BP	7.07624788936053e-06	1
GO:0040012	5.3994908173047e-08	1	269	575	regulation of locomotion	BP	7.38316952427959e-06	1
GO:0000976	5.7169424778944e-08	1	252	522	transcription regulatory region sequence-specific DNA binding	MF	7.74712326951537e-06	1
GO:0051098	5.74170812651821e-08	1	132	257	regulation of binding	BP	7.74712326951537e-06	1
GO:0051270	6.00574408568773e-08	1	279	599	regulation of cellular component movement	BP	8.05006776327643e-06	1
GO:0051094	6.57448355257312e-08	1	399	896	positive regulation of developmental process	BP	8.75480574510619e-06	1
GO:0070887	7.34007742473845e-08	1	833	2051	cellular response to chemical stimulus	BP	9.71082710724813e-06	1
GO:0060429	8.08362355550191e-08	1	360	800	epithelium development	BP	1.05689272390946e-05	1
GO:0030036	8.09243471728066e-08	1	232	481	actin cytoskeleton organization	BP	1.05689272390946e-05	1
GO:0042221	9.19065769741632e-08	1	1116	2826	response to chemical	BP	1.19267808870803e-05	1
GO:0032501	9.88761931719388e-08	1	1864	4798	multicellular organismal process	BP	1.27500225296524e-05	1
GO:0051090	1.13531892584026e-07	1	151	297	regulation of sequence-specific DNA binding transcription factor activity	BP	1.45477910660814e-05	1
GO:0042326	1.4172905665782e-07	1	178	364	negative regulation of phosphorylation	BP	1.80474237521652e-05	1
GO:0071495	1.470046379746e-07	1	408	922	cellular response to endogenous stimulus	BP	1.85146194601136e-05	1
GO:1901362	1.47215488001296e-07	1	1433	3687	organic cyclic compound biosynthetic process	BP	1.85146194601136e-05	1
GO:0051338	1.62909380379318e-07	1	347	789	regulation of transferase activity	BP	2.03626731033634e-05	1
GO:1990837	1.66637263022871e-07	1	262	553	sequence-specific double-stranded DNA binding	MF	2.07016316879754e-05	1
GO:0030029	1.73404080886726e-07	1	256	544	actin filament-based process	BP	2.14117257211282e-05	1
GO:0009719	1.77767521571189e-07	1	508	1186	response to endogenous stimulus	BP	2.1818286051153e-05	1
GO:0043066	1.84119491560366e-07	1	281	629	negative regulation of apoptotic process	BP	2.24625779703647e-05	1
GO:0010562	2.19940788210214e-07	1	339	760	positive regulation of phosphorus metabolic process	BP	2.65152285147628e-05	1
GO:0045937	2.19940788210214e-07	1	339	760	positive regulation of phosphate metabolic process	BP	2.65152285147628e-05	1
GO:0001933	2.48749462857417e-07	1	165	335	negative regulation of protein phosphorylation	BP	2.98118915073941e-05	1
GO:0048584	2.68166211159533e-07	1	618	1494	positive regulation of response to stimulus	BP	3.19509847144113e-05	1
GO:0023014	2.73377233783992e-07	1	314	699	signal transduction by protein phosphorylation	BP	3.2382486983227e-05	1
GO:0048608	2.84144236956902e-07	1	158	319	reproductive structure development	BP	3.34633218714446e-05	1
GO:0048732	2.8694287726479e-07	1	159	318	gland development	BP	3.35987021919129e-05	1
GO:0061458	3.16508521613093e-07	1	159	322	reproductive system development	BP	3.6848826396258e-05	1
GO:0014070	3.21669619213945e-07	1	302	669	response to organic cyclic compound	BP	3.72369137605962e-05	1
GO:0043406	3.37786809372547e-07	0.99999985020905	94	169	positive regulation of MAP kinase activity	BP	3.8881742678849e-05	1
GO:0019438	3.43050160059383e-07	0.9999998448266	1402	3601	aromatic compound biosynthetic process	BP	3.92657525901678e-05	1
GO:0045597	3.99973936727807e-07	1	294	647	positive regulation of cell differentiation	BP	4.55255250664377e-05	1
GO:0043069	4.03129403091389e-07	1	283	639	negative regulation of programmed cell death	BP	4.56297692143553e-05	1
GO:0003690	4.1451600037454e-07	1	287	624	double-stranded DNA binding	MF	4.66593866940932e-05	1
05142	4.55036101733106e-07	0.999999864135169	50	77	NA	NA	5.09390414104962e-05	1
GO:0071407	4.90105524473762e-07	1	199	411	cellular response to organic cyclic compound	BP	5.45650817247455e-05	1
GO:0061061	4.97553067920236e-07	1	211	447	muscle structure development	BP	5.50931859011244e-05	1
GO:0034654	5.08834662593446e-07	0.999999694182084	1383	3548	nucleobase-containing compound biosynthetic process	BP	5.60378238685344e-05	1
GO:0071396	5.88650884606817e-07	1	188	390	cellular response to lipid	BP	6.44794253923617e-05	1
GO:0032870	7.21355510623563e-07	1	222	473	cellular response to hormone stimulus	BP	7.8593033013072e-05	1
GO:0060411	7.82446836578086e-07	0.999999825571689	37	51	cardiac septum morphogenesis	BP	8.47955949385209e-05	1
GO:0030522	8.33600194152265e-07	1	118	227	intracellular receptor signaling pathway	BP	8.98612188130066e-05	1
GO:2001235	1.1078446326685e-06	0.999999508002161	82	156	positive regulation of apoptotic signaling pathway	BP	0.000118795929189411	1
GO:0048468	1.13693496135289e-06	0.999999346177988	613	1436	cell development	BP	0.00012105395695855	1
GO:0071383	1.14078530166102e-06	0.999999451512803	103	190	cellular response to steroid hormone stimulus	BP	0.00012105395695855	1
GO:0007169	1.18283463249595e-06	0.999999529098757	254	550	transmembrane receptor protein tyrosine kinase signaling pathway	BP	0.000124865662188977	1
GO:0009653	1.21095849602842e-06	0.999999203247581	840	2025	anatomical structure morphogenesis	BP	0.000126734339571178	1
GO:0018130	1.21297713833218e-06	0.999999128020707	1397	3596	heterocycle biosynthetic process	BP	0.000126734339571178	1
GO:0007249	1.2293770542273e-06	1	111	219	I-kappaB kinase/NF-kappaB signaling	BP	0.000127792490320546	1
GO:0009790	1.24437072565509e-06	0.999999486619263	339	753	embryo development	BP	0.000128694462763944	1
GO:0009725	1.31894519715853e-06	0.999999464622287	289	646	response to hormone	BP	0.000135718128519737	1
GO:0005622	1.42985556043413e-06	0.999999049047953	4212	11638	intracellular	CC	0.000146391342654698	1
05160	1.46418111980474e-06	0.999999434633262	65	111	NA	NA	0.000149156130674509	1
GO:0000165	1.62166356306295e-06	0.99999913003239	299	671	MAPK cascade	BP	0.000164376982257933	1
GO:0045682	1.75301673052105e-06	0.9999995895692	35	50	regulation of epidermis development	BP	0.000176733421317513	1
05212	1.76091511374571e-06	0.999999497840835	43	65	NA	NA	0.000176733421317513	1
GO:0035295	1.80464458179452e-06	0.999999294772464	216	457	tube development	BP	0.000180234454458243	1
05220	1.88613751681483e-06	0.999999444910721	45	68	NA	NA	0.000187454467158952	1
GO:0097190	1.96341879866731e-06	0.999999226250762	219	490	apoptotic signaling pathway	BP	0.000194187837883727	1
GO:0006468	2.1588807346223e-06	0.999998520068285	627	1496	protein phosphorylation	BP	0.000212488097039588	1
GO:0043085	2.17702853795409e-06	0.999998610340761	532	1264	positive regulation of catalytic activity	BP	0.000213244131885946	1
GO:0005911	2.29307571510525e-06	0.999998792902416	255	557	cell-cell junction	CC	0.000223536481433274	1
GO:0022008	2.33144784957469e-06	0.99999852856267	478	1094	neurogenesis	BP	0.000226194849939213	1
GO:0003674	3.22056930964473e-06	0.999997800301518	4573	12707	molecular_function	MF	0.00031097573040143	1
GO:0008544	3.28370967534377e-06	0.999998874108681	106	203	epidermis development	BP	0.000315576891157802	1
GO:0008284	3.44586257141064e-06	0.999997969784854	260	581	positive regulation of cell proliferation	BP	0.000329605652722631	1
GO:0009887	3.85846007522417e-06	0.999997648324458	331	747	animal organ morphogenesis	BP	0.000367347035386062	1
GO:0032268	3.98447815557907e-06	0.999997040973583	759	1898	regulation of cellular protein metabolic process	BP	0.000377580269496595	1
GO:0005102	4.03358646606392e-06	0.999997319446428	421	1009	receptor binding	MF	0.000380464308609195	1
GO:0003279	4.4885833314182e-06	0.999998466903376	52	81	cardiac septum development	BP	0.000421430399973799	1
GO:0030335	4.80381384442264e-06	0.999997687675225	145	297	positive regulation of cell migration	BP	0.000448958271863609	1
GO:0032147	5.07100954745243e-06	0.999997654746234	122	243	activation of protein kinase activity	BP	0.000471765974976236	1
GO:0090002	5.15431929849313e-06	0.999997764869611	72	129	establishment of protein localization to plasma membrane	BP	0.000477336824488632	1
GO:0030291	5.71308447690553e-06	0.999999143476554	21	28	protein serine/threonine kinase inhibitor activity	MF	0.000526375643258559	1
GO:0004861	5.73551550031413e-06	1	11	11	cyclin-dependent protein serine/threonine kinase inhibitor activity	MF	0.000526375643258559	1
GO:0051246	6.38382140594804e-06	0.999995084375539	807	2030	regulation of protein metabolic process	BP	0.000583246535088724	1
04380	6.73626994095267e-06	0.999997407438616	57	97	NA	NA	0.000612699838290043	1
GO:0022603	7.3209855100951e-06	0.999995089827959	339	770	regulation of anatomical structure morphogenesis	BP	0.000662923372367456	1
GO:0006469	7.57446709051908e-06	0.999996625620874	102	199	negative regulation of protein kinase activity	BP	0.00068059994470607	1
GO:2000147	7.58300713891616e-06	0.999995933472688	148	307	positive regulation of cell motility	BP	0.00068059994470607	1
GO:0051091	8.72943892729798e-06	0.999995590427352	96	184	positive regulation of sequence-specific DNA binding transcription factor activity	BP	0.000778930854526555	1
GO:0051272	8.7550390540189e-06	0.999995261401599	152	317	positive regulation of cellular component movement	BP	0.000778930854526555	1
GO:0001568	9.03098954391081e-06	0.999994544922285	210	446	blood vessel development	BP	0.000799988612902777	1
GO:0040017	9.10791604337872e-06	0.999995066493315	152	317	positive regulation of locomotion	BP	0.000803310309384407	1
GO:0097191	9.72987795701012e-06	0.999995091728372	93	182	extrinsic apoptotic signaling pathway	BP	0.000854467816793639	1
GO:0044271	9.83061715912603e-06	0.999991836667672	1558	4091	cellular nitrogen compound biosynthetic process	BP	0.000859609416309158	1
GO:0048598	1.01919205223393e-05	0.999993840402656	208	442	embryonic morphogenesis	BP	0.000887393968898042	1
GO:0043087	1.03061903926727e-05	0.999993520188921	263	569	regulation of GTPase activity	BP	0.000893524778980054	1
GO:0060548	1.03603491474349e-05	0.99999299826551	297	691	negative regulation of cell death	BP	0.000894414209872199	1
GO:0033673	1.05372928284048e-05	0.999994754708961	108	214	negative regulation of kinase activity	BP	0.000905851494033413	1
GO:0003281	1.096721927132e-05	0.999997048754045	36	52	ventricular septum development	BP	0.000935610462813635	1
GO:0045604	1.09753067935829e-05	0.99999787724389	26	35	regulation of epidermal cell differentiation	BP	0.000935610462813635	1
GO:0000079	1.11687656262847e-05	0.999996174821265	44	74	regulation of cyclin-dependent protein serine/threonine kinase activity	BP	0.000948135128624681	1
GO:0040007	1.12379643505489e-05	0.999992301416396	328	751	growth	BP	0.000950050977917355	1
GO:0003206	1.12856525331471e-05	0.999995719307443	54	90	cardiac chamber morphogenesis	BP	0.000950140019464208	1
GO:0070848	1.19647490058377e-05	0.999992442380164	223	484	response to growth factor	BP	0.00100316788578164	1
GO:0031400	1.30942104602758e-05	0.999991679392655	222	503	negative regulation of protein modification process	BP	0.00109336657343303	1
GO:0016538	1.32945329008669e-05	0.999998103386055	19	25	cyclin-dependent protein serine/threonine kinase regulator activity	MF	0.00110556250335617	1
GO:0019899	1.39291422888108e-05	0.99998925595743	649	1579	enzyme binding	MF	0.00115362741866761	1
GO:1902532	1.46363044699286e-05	0.999991077441344	181	390	negative regulation of intracellular signal transduction	BP	0.00120728772174221	1
GO:1901700	1.47194110687945e-05	0.999989173867561	460	1106	response to oxygen-containing compound	BP	0.00120924710127266	1
GO:0048545	1.56018983264064e-05	0.999991251599199	139	288	response to steroid hormone	BP	0.00127659870081206	1
GO:0001012	1.65648032579221e-05	0.999989585038474	212	454	RNA polymerase II regulatory region DNA binding	MF	0.00134996520630762	1
GO:0045646	1.73660188808585e-05	0.999996579167988	25	34	regulation of erythrocyte differentiation	BP	0.00140962258437693	1
GO:0043547	1.80236287115238e-05	0.999988200779544	242	519	positive regulation of GTPase activity	BP	0.00145719607685947	1
GO:1904029	1.82379032317235e-05	0.999993545166131	44	75	regulation of cyclin-dependent protein kinase activity	BP	0.00146869185945903	1
GO:0030182	1.97031552781326e-05	0.999985622248861	408	932	neuron differentiation	BP	0.00158044128203415	1
GO:0071901	2.00299958728083e-05	0.99999157365411	59	106	negative regulation of protein serine/threonine kinase activity	BP	0.00160035739573567	1
GO:0003205	2.03696662418482e-05	0.999990925923404	69	121	cardiac chamber development	BP	0.00162113898441959	1
