category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0045597	1.73069020018887e-08	1	309	647	positive regulation of cell differentiation	BP	2.54370110584634e-06	1
GO:0044271	1.73541991613155e-08	1	1627	4091	cellular nitrogen compound biosynthetic process	BP	2.54370110584634e-06	1
GO:0048468	1.89041868893302e-08	1	641	1436	cell development	BP	2.75109931202295e-06	1
GO:0048732	2.27108760547144e-08	1	167	318	gland development	BP	3.28164105488475e-06	1
GO:2000145	2.39249203533384e-08	1	267	551	regulation of cell motility	BP	3.43272061464025e-06	1
GO:0070887	2.41601687999503e-08	1	860	2051	cellular response to chemical stimulus	BP	3.44223272119012e-06	1
GO:0051241	2.59815083699e-08	1	333	712	negative regulation of multicellular organismal process	BP	3.67602258005794e-06	1
GO:0022603	2.98299811605247e-08	1	360	770	regulation of anatomical structure morphogenesis	BP	4.19142093906572e-06	1
GO:0009719	3.06571572492511e-08	1	527	1186	response to endogenous stimulus	BP	4.27814329997427e-06	1
GO:0043065	3.12836229727988e-08	1	231	483	positive regulation of apoptotic process	BP	4.33586758127757e-06	1
GO:0022008	3.45429825745885e-08	1	501	1094	neurogenesis	BP	4.75526166874774e-06	1
GO:0032501	3.85044117428755e-08	1	1922	4798	multicellular organismal process	BP	5.2650260728144e-06	1
GO:0008544	4.2174231502677e-08	1	114	203	epidermis development	BP	5.72838528423694e-06	1
GO:0034645	4.39461408324927e-08	1	1653	4148	cellular macromolecule biosynthetic process	BP	5.92952763788879e-06	1
GO:0040012	4.55655096984272e-08	1	276	575	regulation of locomotion	BP	6.10757693812997e-06	1
GO:0042325	4.75193834421815e-08	1	485	1084	regulation of phosphorylation	BP	6.32784260294776e-06	1
GO:0010647	5.32281870430752e-08	1	523	1195	positive regulation of cell communication	BP	7.04202001828321e-06	1
GO:0005622	6.04766748439392e-08	1	4345	11638	intracellular	CC	7.94936627916398e-06	1
GO:0001952	6.20899124661597e-08	0.999999982913417	54	79	regulation of cell-matrix adhesion	BP	8.10910177298421e-06	1
GO:0019899	6.65876604591496e-08	1	682	1579	enzyme binding	MF	8.64112735155868e-06	1
GO:0023056	7.39979704974985e-08	1	525	1202	positive regulation of signaling	BP	9.54199146149389e-06	1
GO:0001932	8.16172774956792e-08	1	451	1004	regulation of protein phosphorylation	BP	1.0428005369064e-05	1
GO:0001077	8.18926503902153e-08	0.999999965171496	99	169	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	1.0428005369064e-05	1
GO:0016070	8.36492625059078e-08	1	1544	3860	RNA metabolic process	BP	1.05855284117725e-05	1
GO:0009059	9.4266036426776e-08	1	1694	4266	macromolecule biosynthetic process	BP	1.18554088034514e-05	1
GO:0033993	1.01356677437613e-07	1	295	631	response to lipid	BP	1.26689628595947e-05	1
GO:0044249	1.03767574211433e-07	1	1970	5040	cellular biosynthetic process	BP	1.28912229084374e-05	1
GO:0048585	1.09823031562612e-07	1	480	1087	negative regulation of response to stimulus	BP	1.35608148185252e-05	1
GO:0007265	1.38094265727617e-07	1	150	278	Ras protein signal transduction	BP	1.69489913851474e-05	1
GO:0048699	1.42698888354109e-07	1	470	1027	generation of neurons	BP	1.74092643792013e-05	1
GO:1902533	1.5497993693026e-07	1	314	683	positive regulation of intracellular signal transduction	BP	1.87950073512923e-05	1
GO:0000977	1.63640683973125e-07	1	225	453	RNA polymerase II regulatory region sequence-specific DNA binding	MF	1.97279011554346e-05	1
GO:0044093	1.78724919941451e-07	1	645	1497	positive regulation of molecular function	BP	2.14196559934536e-05	1
GO:0009725	1.85168345218434e-07	1	300	646	response to hormone	BP	2.20621044764934e-05	1
GO:0001012	2.06384507593357e-07	1	225	454	RNA polymerase II regulatory region DNA binding	MF	2.44469648703899e-05	1
GO:0051174	2.1970752464624e-07	1	545	1247	regulation of phosphorus metabolic process	BP	2.58746884805924e-05	1
GO:0019220	2.59034156436316e-07	1	544	1246	regulation of phosphate metabolic process	BP	3.03308155358247e-05	1
GO:0071407	2.72715671495702e-07	1	205	411	cellular response to organic cyclic compound	BP	3.16137818829248e-05	1
GO:1901576	2.73111234971038e-07	0.999999875297629	1994	5110	organic substance biosynthetic process	BP	3.16137818829248e-05	1
GO:0014070	2.7464608782162e-07	1	310	669	response to organic cyclic compound	BP	3.16137818829248e-05	1
GO:0031399	2.7723573336139e-07	1	577	1340	regulation of protein modification process	BP	3.17325889410391e-05	1
GO:0071396	2.78835434842106e-07	1	194	390	cellular response to lipid	BP	3.17373918964976e-05	1
GO:0030182	3.22792990408976e-07	1	428	932	neuron differentiation	BP	3.65365799255137e-05	1
GO:0032870	3.59696438139404e-07	1	229	473	cellular response to hormone stimulus	BP	4.04887029317802e-05	1
GO:0051098	3.64132944627744e-07	1	132	257	regulation of binding	BP	4.07628824936575e-05	1
GO:0043066	3.99978921423525e-07	1	286	629	negative regulation of apoptotic process	BP	4.45309865851525e-05	1
GO:0045859	4.17935402994109e-07	1	278	597	regulation of protein kinase activity	BP	4.62772603293585e-05	1
GO:0070848	4.47193222291607e-07	1	234	484	response to growth factor	BP	4.92492687079416e-05	1
GO:0051270	4.62593630486048e-07	1	281	599	regulation of cellular component movement	BP	5.06714119759287e-05	1
GO:0043549	4.69000158587764e-07	1	298	644	regulation of kinase activity	BP	5.10984450859203e-05	1
GO:0097191	5.80641002589573e-07	0.999999730638099	99	182	extrinsic apoptotic signaling pathway	BP	6.29254243976594e-05	1
GO:0043405	5.89932780267356e-07	1	137	263	regulation of MAP kinase activity	BP	6.35941294453286e-05	1
GO:0071383	6.55160360031898e-07	0.999999689854776	106	190	cellular response to steroid hormone stimulus	BP	7.02538798699468e-05	1
GO:0051101	7.15793495052217e-07	0.999999768973721	52	84	regulation of DNA binding	BP	7.63538045455176e-05	1
GO:0010810	7.70285900827675e-07	0.99999967356269	84	143	regulation of cell-substrate adhesion	BP	8.17385674138701e-05	1
GO:0051090	8.11476687842044e-07	1	151	297	regulation of sequence-specific DNA binding transcription factor activity	BP	8.56633473476363e-05	1
GO:0042221	9.14371314133221e-07	0.999999388276179	1141	2826	response to chemical	BP	9.60278410007745e-05	1
GO:0048545	9.56482199176288e-07	1	146	288	response to steroid hormone	BP	9.99352221847061e-05	1
GO:0005634	1.22663742286384e-06	0.999999070684559	2297	5939	nucleus	CC	0.000127507708435856	1
GO:0048705	1.54037434980287e-06	0.999999319895831	85	149	skeletal system morphogenesis	BP	0.000159307548237988	1
GO:0030335	1.68883153022108e-06	0.999999382922679	150	297	positive regulation of cell migration	BP	0.000173779058569314	1
GO:0043408	1.864461355354e-06	0.999999261592128	238	503	regulation of MAPK cascade	BP	0.000190887113839107	1
GO:0009058	1.89723337406359e-06	0.999998499900027	2014	5183	biosynthetic process	BP	0.000193271163815858	1
GO:0071363	2.16261512042494e-06	0.999999150161234	224	466	cellular response to growth factor stimulus	BP	0.000219209554544964	1
GO:0045860	2.20370660105187e-06	0.99999915991059	183	376	positive regulation of protein kinase activity	BP	0.000222268902424905	1
GO:2000147	2.60056751809066e-06	0.99999903787453	153	307	positive regulation of cell motility	BP	0.000261004741938814	1
GO:0005667	2.80548295999649e-06	0.999998998006306	128	251	transcription factor complex	CC	0.000280190734445923	1
GO:0043069	3.18038101640306e-06	0.999998102910446	287	639	negative regulation of programmed cell death	BP	0.000316083330869248	1
GO:0000988	3.19768746183766e-06	0.99999832799574	239	511	transcription factor activity, protein binding	MF	0.000316260603628546	1
GO:0001954	3.24602441630482e-06	0.999999415190449	27	36	positive regulation of cell-matrix adhesion	BP	0.000319490345206736	1
GO:0090002	3.41483143166222e-06	0.999998541500938	74	129	establishment of protein localization to plasma membrane	BP	0.000334489305714837	1
GO:0042327	3.56408609971932e-06	0.99999784999977	313	686	positive regulation of phosphorylation	BP	0.000347438709070246	1
GO:0051272	3.92918228746782e-06	0.99999809049081	157	317	positive regulation of cellular component movement	BP	0.000381205523451759	1
GO:0040017	4.10287198556319e-06	0.999998004536874	157	317	positive regulation of locomotion	BP	0.000396170207743433	1
05215	4.12566922805543e-06	0.999998632962243	49	77	NA	NA	0.000396492381379252	1
GO:0007169	4.35284912966464e-06	0.999997442420529	258	550	transmembrane receptor protein tyrosine kinase signaling pathway	BP	0.000416361259003697	1
05212	4.39085496429046e-06	0.99999868812737	43	65	NA	NA	0.000418034014217074	1
GO:2001237	4.53760105380825e-06	0.999998485455571	48	77	negative regulation of extrinsic apoptotic signaling pathway	BP	0.000429995738931578	1
GO:0044424	4.61065708063158e-06	0.999996391578764	4254	11424	intracellular part	CC	0.000434895960003647	1
05160	4.6867101005056e-06	0.999998105987352	65	111	NA	NA	0.000440032403629959	1
05220	4.83065514366553e-06	0.999998509914594	45	68	NA	NA	0.000451466825215786	1
GO:0030879	4.94374836009584e-06	0.999998051218331	63	105	mammary gland development	BP	0.000459926616842889	1
GO:0001227	5.08821196406842e-06	0.999997774140924	77	132	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	MF	0.000471214684345136	1
GO:0043588	5.88000068076345e-06	0.999997188129153	91	163	skin development	BP	0.000542077528822962	1
GO:0001934	5.91644858824126e-06	0.999996240300677	297	651	positive regulation of protein phosphorylation	BP	0.000542980736652375	1
GO:0040007	6.04827052829259e-06	0.999996084842842	338	751	growth	BP	0.000552589523513153	1
GO:2001233	6.27814951150298e-06	0.999996623749851	151	318	regulation of apoptotic signaling pathway	BP	0.000571031331015007	1
GO:0001078	6.43486476568818e-06	0.999997733545845	53	83	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	0.000582684154382804	1
GO:0010811	6.63485731123048e-06	0.99999769794498	50	80	positive regulation of cell-substrate adhesion	BP	0.000598135322385	1
GO:0043406	6.70994648508021e-06	0.999996734719449	92	169	positive regulation of MAP kinase activity	BP	0.000602046712536096	1
GO:0008284	6.73734418662167e-06	0.999995779663742	265	581	positive regulation of cell proliferation	BP	0.000602046712536096	1
GO:0035295	6.90097434504686e-06	0.999996027594161	219	457	tube development	BP	0.000609767573607208	1
GO:0010563	6.91353241892928e-06	0.999995827729807	215	455	negative regulation of phosphorus metabolic process	BP	0.000609767573607208	1
GO:0045936	6.91353241892928e-06	0.999995827729807	215	455	negative regulation of phosphate metabolic process	BP	0.000609767573607208	1
GO:0005654	7.38535199869639e-06	0.999994095078064	1104	2746	nucleoplasm	CC	0.000648573972506208	1
GO:2001236	7.65047731302868e-06	0.999996699443845	69	123	regulation of extrinsic apoptotic signaling pathway	BP	0.000668469815256032	1
GO:0009790	7.67752708206103e-06	0.999994854863662	344	753	embryo development	BP	0.000668469815256032	1
GO:0000989	7.9318279940571e-06	0.999995116956939	236	508	transcription factor activity, transcription factor binding	MF	0.000686382640719998	1
GO:0004861	7.95063822567583e-06	1	11	11	cyclin-dependent protein serine/threonine kinase inhibitor activity	MF	0.000686382640719998	1
GO:0033674	8.25669306988028e-06	0.999995331344666	193	403	positive regulation of kinase activity	BP	0.000709796897070636	1
GO:0001726	8.35820095664713e-06	0.99999615258531	82	143	ruffle	CC	0.000715504144078692	1
GO:0051240	8.53687153621021e-06	0.999993927363294	461	1053	positive regulation of multicellular organismal process	BP	0.000727741509116095	1
GO:2001235	8.67627953773903e-06	0.99999587322818	81	156	positive regulation of apoptotic signaling pathway	BP	0.000736543830424562	1
GO:0043410	8.88792356913776e-06	0.999995098546329	169	347	positive regulation of MAPK cascade	BP	0.000751379895425779	1
GO:0048534	9.18078858444466e-06	0.999994251800727	259	559	hematopoietic or lymphoid organ development	BP	0.000772931349667254	1
GO:0031981	9.63402989716886e-06	0.999992107713251	1282	3233	nuclear lumen	CC	0.000807751955246577	1
GO:0023014	9.70015109109472e-06	0.999993545701048	315	699	signal transduction by protein phosphorylation	BP	0.000808633607965778	1
GO:0000987	9.72392431292901e-06	0.999994831913975	145	284	core promoter proximal region sequence-specific DNA binding	MF	0.000808633607965778	1
GO:0034330	1.01244948989816e-05	0.999994920212175	117	220	cell junction organization	BP	0.000838522191348988	1
GO:0003677	1.04198023980227e-05	0.999991809254197	848	2030	DNA binding	MF	0.000859486048815042	1
GO:0051128	1.05732911714854e-05	0.999991733605634	789	1893	regulation of cellular component organization	BP	0.000868629977128397	1
GO:1901701	1.06287024811394e-05	0.99999275966612	322	719	cellular response to oxygen-containing compound	BP	0.000869675439159572	1
GO:0090304	1.13413247617431e-05	0.999990500942468	1696	4313	nucleic acid metabolic process	BP	0.000924272602783013	1
GO:0000978	1.14905318071482e-05	0.999993917970081	140	274	RNA polymerase II core promoter proximal region sequence-specific DNA binding	MF	0.000932701573859909	1
GO:0050790	1.17035647938259e-05	0.999990842254904	783	1896	regulation of catalytic activity	BP	0.00094113109675797	1
GO:0042326	1.17212700760542e-05	0.999993139694545	175	364	negative regulation of phosphorylation	BP	0.00094113109675797	1
GO:0001503	1.1732958602951e-05	0.999993521603878	138	275	ossification	BP	0.00094113109675797	1
GO:0006468	1.19656953861628e-05	0.999990871015926	638	1496	protein phosphorylation	BP	0.000956035599206596	1
